Company,Governance,Materials,Operations,Initiatives,Website,Unnamed: 6,Unnamed: 7,Unnamed: 8
ORANGEBOX,"FISP Certified, ISO14001, Environmental and Sustainability Policy, SKA rating, Intertek Sustainability","FSC certified, ISO 14001, Recyclable Materials Used, Recycled Materials ","UK  Based, Net 0 Pledge (2035), Scope 1 and 2 Emissions, Zero Waste to Landfill, Carbon Database, Clean Air Voc",,https://www.orangebox.com/,,,
WELCOME FURNITURE,"ISO 14001, SEDEX, ISO 9001, ESG Criteria","FSC Certified, ISO 14001",UK Based,"Green Growth Pledge, FIRA member",https://www.welcomefurniture.co.uk,,,
BRADO,"RPP, ISO 14001, ISO 9001, Environmental Policy","ISO 14001, FSC Certified, Recyclable Materials Used, Recycled Materials  Materials","Italy Based, Scope 1 and Scope 2 Emissions",New Plastics Development,https://www.brado.it/en,,,
HEARTLANDS FURNITURE,,,UK Based,FIRA Member,https://www.heartlandsfurniture.co.uk/,,,
EDIT OFFICE,"Sustainability Policy, Global Green Tag Certified","WEEE Certified, Designed for Energy Efficiency, Recycled Materials ","Ireland Based, Scope 1 and Scope 2 Emission","Plant a Tree Initiative, Alternative materials (Bamboo desks)",https://editoffice.co.uk/,,,
DAMS FURNITURE,"ISO 50001, Net 0 plan",,"UK Based, Net Zero Pledge (2035), Scope 1 and Scope 2 emissions",Electric Vehicles,https://www.dams.com/,,,
AC FURNITURE,,"FSC Certified, Recycled Materials ",USA Based,,https://acfurniture.com/,,,
GLOBAL CHAIR,Suffolk Carbon Charter,FSC Certified,UK Based,,https://www.globalchair.com/,,,
WINTECH,,FSC Certified,Poland Based,,https://wintech.pl/?lang=en,,,
PANAZ,"Sustainability guide, ISO  14001, Macaw Audit, ISO 9001","FSC Certified, Recyclable Materials Used, Recycled Materials ","UK Based, Net Zero Pledge (2030), Scope 1 & 2, Carbon Database","Plant a Tree Initiative, Electric Vehicle Fleet, Avoids Harmful Chemicals, Wildflower Planting, Removal of Plastic Waste, Circular Economy Principles",https://panaz.com/,,,
BRABANTIA,"B Corp Certification, Cradle to Cradle, Sustainability Manifesto, Impact Report","FSC Certified, Recyclable Materials Used, Recycled Materials , Fairtrade Cotton","Netherlands Based, Net Zero Pledge (2035), Scope 1 & 2, Zero Waste to Landfill, Renewable Energy, BREEAM Principles Designed Buildings,","Plant a Tree Initiative, Fairtrade, 100% Circular Design by 2035",https://www.brabantia.com/uk/,,,
JULIAN BOWEN,ISO 14001,"FSC Certified, Recyclable Materials Used, ISO 14001, Ethical Sourcing","UK Based, Scope 1 & 2, Renewable Energy","FIRA Member, Plastic-free packaging",https://julian-bowen.co.uk/?srsltid=AfmBOoob6IuFDoP8WWXp9T-NyKgDnLy24z1xoH9wM7eqwziiZFs46tE1,,,
THE SENATOR GROUP,"LCA, ISO 9001, ESG Strategy, FISP Certified, ISO 14001, ISO 50001","FSC Certified, Recyclable Materials Used, Recycled Materials , ISO 14001","UK Based, Net Zero Pledge (2040), Scope 1 & 2 Emissions, Zero Waste to Landfill, Carbon Database, Scope 3 Emissions","Cycle to work, Plant a Tree Initiative, Recyclable packaging, FIRA member, Suppliers are ESG certified, Circular Economy Principles",https://thesenatorgroup.com/,,,
LPD GROUP,,FSC Certified,UK Based,,https://lpddoors.co.uk/,,,
AGUA FABRICS,"Sustainability Report, Planet Mark Certification","Recyclable Materials Used, Recycled Materials ","UK Based, Scope 1 & 2, Reusing Waste Products (steam)","Sustainable fabric, Electric forklifts",https://www.aguafabrics.com/,,,
PLEDGE OFFICE CHAIRS,"ISO 9001, ISO 14001, FISP Certified","FSC Certified, ISO14001","UK Based, Scope 1 & 2, Zero Waste to Landfill",Circular Economy Principles,https://www.pledgechairs.co.uk/,,,
NOOMA,,FSC Certified,Poland Based,"Plant a Tree Initiative, Europe only Supply Chain",https://uk.noo.ma/?shpxid=e06698d0-70ad-4ddf-9bfc-5663f369b697,,,
